ra,dec,flux65,flux90,flux140,flux160,qflag65,qflag90,qflag140,qflag160,peak_wl,peak_flux
2.22098,-25.04443,19.06,11.82,4.367,2.891,3,3,3,1,65.0,19.06
2.8759,-28.02448,,8.032,5.668,1.562,1,3,3,1,90.0,8.032
3.66677,-37.10159,12.41,1.057,6.606,0.08285,3,3,3,1,65.0,12.41
4.06,-22.4538,7.069,2.148,3.244,1.359,3,3,3,1,65.0,7.069
4.07169,-32.18708,10.51,6.133,5.671,1.454,3,3,3,1,65.0,10.51
4.54866,-19.62637,7.839,8.228,3.082,0.9097,3,3,3,1,90.0,8.228
5.4552,-22.0874,9.15,6.835,5.898,1.364,3,3,3,1,65.0,9.15
8.14663,-78.1776,24.4,17.36,4.113,2.075,3,3,3,1,65.0,24.4
8.77974,-21.74406,25.05,17.33,5.523,2.086,3,3,3,1,65.0,25.05
0.04946,-38.83096,15.14,11.67,3.613,2.653,3,3,3,1,65.0,15.14
0.10381,-16.22462,11.17,0.7884,5.939,0.5779,3,3,3,1,65.0,11.17
0.4169,-23.21015,11.33,9.612,10.9,1.819,3,3,3,1,65.0,11.33
0.93636,-35.24317,2.008,3.386,2.317,2.221,3,3,3,1,90.0,3.386
1.48427,-14.23292,14.3,8.562,11.47,0.6016,3,3,3,1,65.0,14.3
1.54471,-17.37986,12.35,1.003,10.97,0.2516,3,3,3,1,65.0,12.35
2.10718,-16.46853,7.068,1.919,5.6,2.819,3,3,3,1,65.0,7.068
2.41776,-11.42115,6.555,1.676,6.015,2.38,3,3,3,1,65.0,6.555
3.06006,-58.25153,2.974,3.151,3.037,2.507,3,3,3,1,90.0,3.151
3.14268,-24.83573,13.28,7.007,9.57,1.145,3,3,3,1,65.0,13.28
3.6115,-25.04752,19.82,17.17,8.803,2.231,3,3,3,1,65.0,19.82
4.3524,-22.88628,6.209,1.822,5.766,2.195,3,3,3,1,65.0,6.209
4.51529,-15.2702,16.33,7.935,5.442,0.7875,3,3,3,1,65.0,16.33
7.56757,21.86718,17.85,12.93,4.837,2.788,3,3,3,1,65.0,17.85
7.84588,-47.26034,10.91,9.148,2.792,0.007943,3,3,3,1,65.0,10.91
8.32295,0.19614,7.172,5.222,2.075,0.6739,3,3,3,1,65.0,7.172
0.25161,-4.93183,23.41,21.27,11.87,1.854,3,3,3,1,65.0,23.41
0.29175,-11.20664,0.4082,8.095,5.055,0.5267,1,3,3,1,90.0,8.095
0.35669,-11.77009,0.1737,5.081,4.998,0.831,1,3,3,1,90.0,5.081
2.2243,32.62415,3.264,3.649,2.499,2.972,3,3,3,1,90.0,3.649
2.4783,9.50194,17.07,13.31,3.452,0.9801,3,3,3,1,65.0,17.07
3.13779,-36.74732,6.88,4.475,2.627,1.066,3,3,3,1,65.0,6.88
3.72813,-16.52541,4.645,3.954,3.325,1.949,3,3,3,1,65.0,4.645
5.6197,3.95701,16.13,18.46,6.411,2.493,3,3,3,1,90.0,18.46
6.18172,-23.43579,21.77,14.72,4.544,1.798,3,3,3,1,65.0,21.77
8.41608,2.29759,3.585,2.894,3.091,1.292,3,3,3,1,65.0,3.585
9.60364,-1.59686,10.09,12.83,4.476,2.955,3,3,3,1,90.0,12.83
0.39275,6.36908,3.089,5.306,4.215,2.629,3,3,3,1,90.0,5.306
2.89747,9.22571,11.64,12.78,4.287,1.467,3,3,3,1,90.0,12.78
4.97157,5.96436,8.176,5.636,2.427,1.984,3,3,3,1,65.0,8.176
6.75803,26.32352,2.246,10.75,9.29,1.862,1,3,3,1,90.0,10.75
7.06595,9.86847,3.313,4.776,4.442,1.688,3,3,3,1,90.0,4.776
8.21468,39.72462,15.31,12.76,5.678,2.634,3,3,3,1,65.0,15.31
8.80867,-59.19557,16.81,14.15,2.729,1.597,3,3,3,1,65.0,16.81
8.99162,-20.64869,2.128,3.476,3.063,2.826,1,3,3,1,90.0,3.476
9.25276,47.27847,1.56,3.289,3.072,2.51,1,3,3,1,90.0,3.289
9.39988,-1.88636,27.2,17.15,4.991,2.094,3,3,3,1,65.0,27.2
9.86286,31.61815,9.38,8.584,6.169,2.817,3,3,3,1,65.0,9.38
0.68435,25.81046,9.623,11.07,4.454,2.621,3,3,3,1,90.0,11.07
1.01389,-23.73197,3.722,4.553,2.655,2.699,3,3,3,1,90.0,4.553
1.59439,27.03626,18.63,11.83,3.972,2.146,3,3,3,1,65.0,18.63
1.73037,-27.22555,18.5,13.0,4.283,0.1581,3,3,3,1,65.0,18.5
3.17832,19.98934,8.293,8.055,3.311,1.171,3,3,3,1,65.0,8.293
3.37301,-41.79365,4.269,4.851,3.842,2.869,3,3,3,1,90.0,4.851
3.78651,12.70372,8.226,8.988,2.796,1.908,3,3,3,1,90.0,8.988
4.25187,45.85623,1.396,3.377,2.867,1.512,1,3,3,1,90.0,3.377
4.82765,40.41228,4.996,7.699,5.281,0.04325,3,3,3,1,90.0,7.699
5.59569,20.1038,5.589,6.404,3.301,1.781,3,3,3,1,90.0,6.404
5.70989,41.87095,13.98,16.67,7.269,1.433,3,3,3,1,90.0,16.67
6.31808,48.36764,20.84,14.75,3.013,2.593,3,3,3,1,65.0,20.84
8.1645,42.41965,5.282,10.25,8.316,2.999,3,3,3,1,90.0,10.25
8.18949,40.65846,20.77,15.95,11.84,2.782,3,3,3,1,65.0,20.77
1.04039,12.41768,1.427,3.2,2.522,1.653,3,3,3,1,90.0,3.2
3.00986,-57.06883,5.112,4.123,3.164,0.5069,3,3,3,1,65.0,5.112
5.08843,52.45343,15.05,15.11,7.977,2.917,3,3,3,1,90.0,15.11
5.17725,43.9417,5.633,8.187,7.828,0.9638,3,3,3,1,90.0,8.187
6.0491,-23.43412,2.038,3.332,2.707,0.2032,3,3,3,1,90.0,3.332
6.83416,45.34951,5.923,4.785,2.246,1.718,3,3,3,1,65.0,5.923
7.3568,50.09795,7.77,21.48,6.284,1.154,3,3,3,1,90.0,21.48
7.77116,50.99438,8.157,1.537,6.5,1.974,3,3,3,1,65.0,8.157
9.07662,-44.56133,3.364,3.197,2.193,1.95,3,3,3,1,65.0,3.364
9.41224,68.91935,3.379,3.477,3.324,2.465,3,3,3,1,90.0,3.477
9.66855,43.94112,8.69,6.442,4.087,2.67,3,3,3,1,65.0,8.69
9.84522,33.84006,5.174,5.942,4.927,2.157,3,3,3,1,90.0,5.942
0.44663,44.24503,3.618,5.467,3.946,1.86,3,3,3,1,90.0,5.467
2.7678,11.15437,17.59,13.44,4.42,0.4674,3,3,3,1,65.0,17.59
3.53021,39.0709,19.67,13.61,3.155,2.553,3,3,3,1,65.0,19.67
3.80245,78.62394,20.25,13.96,4.08,1.537,3,3,3,1,65.0,20.25
4.00998,45.37414,14.79,10.89,3.741,1.579,3,3,3,1,65.0,14.79
5.81791,38.0159,7.209,6.959,3.169,1.779,3,3,3,1,65.0,7.209
0.47242,48.72635,4.767,4.13,2.78,1.842,3,3,3,1,65.0,4.767
1.42569,35.34768,13.87,11.79,3.392,0.4067,3,3,3,1,65.0,13.87
4.57333,40.563,2.831,3.726,3.691,2.677,3,3,3,1,90.0,3.726
6.1307,43.71905,16.54,12.66,4.092,2.115,3,3,3,1,65.0,16.54
6.4706,60.3456,21.57,16.7,3.157,2.978,3,3,3,1,65.0,21.57
8.05156,60.10105,11.81,10.24,2.968,0.03363,3,3,3,1,65.0,11.81
1.86851,8.2262,2.021,3.285,3.052,2.16,3,3,3,1,90.0,3.285
2.63043,60.29045,2.812,4.629,4.335,1.358,3,3,3,1,90.0,4.629
3.14431,24.73084,2.446,3.153,2.743,0.5161,1,3,3,1,90.0,3.153
3.54741,8.90185,10.54,7.546,2.892,2.251,3,3,3,1,65.0,10.54
3.8321,-29.6127,12.36,8.227,3.114,2.762,3,3,3,1,65.0,12.36
9.59302,-4.4165,5.947,9.937,4.163,2.653,3,3,3,1,90.0,9.937
1.51437,-69.17176,2.972,3.031,2.723,1.385,3,3,3,1,90.0,3.031
2.61366,57.97577,8.228,8.242,2.8,1.079,3,3,3,1,90.0,8.242
2.96345,70.36997,1.658,4.24,2.431,1.64,1,3,3,1,90.0,4.24
9.68411,-39.45002,29.72,20.59,6.715,2.695,3,3,3,1,65.0,29.72
