ra,dec,flux65,flux90,flux140,flux160,qflag65,qflag90,qflag140,qflag160,peak_wl,peak_flux
224.43529,-58.64944,7.171,12.69,4.84,0.341,3,3,3,1,90.0,12.69
225.86046,-59.56883,13.87,12.75,4.41,0.612,3,3,3,1,65.0,13.87
222.35583,-60.12556,20.78,26.55,3.65,0.605,3,3,3,1,90.0,26.55
214.13822,-61.45499,23.62,19.14,5.21,0.364,3,3,3,1,65.0,23.62
223.82344,-59.57962,28.85,25.67,2.34,0.784,3,3,3,1,65.0,28.85
209.48311,-63.83821,22.14,20.58,2.77,0.368,3,3,3,1,65.0,22.14
235.41809,-55.15793,10.94,21.38,4.59,0.331,3,3,3,1,90.0,21.38
201.50608,-62.1339,28.96,26.24,2.07,0.325,3,3,3,1,65.0,28.96
241.19304,-50.632,11.93,14.27,4.43,0.15,3,3,3,1,90.0,14.27
229.41603,-59.6469,20.65,13.86,2.96,0.729,3,3,3,1,65.0,20.65
237.00001,-53.73261,22.88,28.43,2.69,0.327,3,3,3,1,90.0,28.43
246.86493,-48.53319,16.89,26.86,3.0,1.04,3,3,3,1,90.0,26.86
202.07328,-62.15135,15.05,16.76,5.23,0.275,3,3,3,1,90.0,16.76
253.59106,-46.4174,13.24,15.4,2.55,0.32,3,3,3,1,90.0,15.4
234.41684,-56.76487,12.14,14.68,2.02,0.19,1,3,3,1,90.0,14.68
258.51633,-41.27359,12.71,13.9,2.4,0.15,3,3,3,1,90.0,13.9
262.77472,-37.08654,10.65,15.53,2.43,0.272,3,3,3,1,90.0,15.53
264.68693,-32.34632,16.53,18.75,2.06,0.697,3,3,3,1,90.0,18.75
250.78488,-49.13741,15.75,12.54,2.9,1.15,3,3,3,1,65.0,15.75
260.61119,-36.53608,,16.45,3.03,1.08,1,3,3,1,90.0,16.45
285.54665,5.54537,20.38,23.58,2.31,0.168,3,3,3,1,90.0,23.58
262.72731,-36.09664,10.99,19.83,4.21,0.276,1,3,3,1,90.0,19.83
271.98349,-18.65531,13.07,22.74,3.24,1.05,1,3,3,1,90.0,22.74
269.82277,-22.05734,6.534,18.47,2.3,1.5,1,3,3,1,90.0,18.47
280.86839,-0.60139,11.13,17.48,2.93,0.119,3,3,3,1,90.0,17.48
276.02904,-13.42901,19.66,26.76,2.92,0.364,1,3,3,1,90.0,26.76
280.45883,-5.89175,22.62,27.43,3.13,2.3,3,3,3,1,90.0,27.43
276.76039,-13.71963,23.7,19.64,2.34,0.731,3,3,3,1,65.0,23.7
284.3571,0.8011,15.62,23.52,4.0,0.498,3,3,3,1,90.0,23.52
285.67208,5.34926,29.43,29.44,2.74,0.104,3,3,3,1,90.0,29.44
290.876,13.74069,,23.66,5.4,0.42,1,3,3,1,90.0,23.66
292.89375,17.50795,7.368,25.91,4.46,1.05,1,3,3,1,90.0,25.91
293.04386,18.90448,24.3,14.54,3.3,1.05,3,3,3,1,65.0,24.3
293.92656,20.63308,13.49,22.03,2.22,1.77,3,3,3,1,90.0,22.03
152.06624,-56.91642,27.91,26.44,3.02,0.349,3,3,3,1,65.0,27.91
288.44725,13.83386,13.03,17.34,6.03,0.327,3,3,3,1,90.0,17.34
303.99277,42.09215,17.3,29.46,2.2,2.51,3,3,3,1,90.0,29.46
303.90362,32.15876,9.618,16.45,3.13,0.33,1,3,3,1,90.0,16.45
303.30143,42.57369,25.64,24.77,2.21,0.819,3,3,3,1,65.0,25.64
288.77852,9.5926,,25.06,2.1,1.2,1,3,3,1,90.0,25.06
305.77723,35.42108,14.31,15.98,2.17,0.604,3,3,3,1,90.0,15.98
301.7009,35.13912,18.42,17.74,2.28,0.565,3,3,3,1,65.0,18.42
308.44935,39.30753,23.09,29.14,2.26,0.506,3,3,3,1,90.0,29.14
308.94202,38.53534,22.63,15.86,3.02,0.639,3,3,3,1,65.0,22.63
296.59213,24.73857,29.44,24.46,4.37,1.77,3,3,3,1,65.0,29.44
291.42416,16.74776,18.4,20.21,6.45,0.527,3,3,3,1,90.0,20.21
305.17702,37.87798,11.24,21.57,2.08,0.317,3,3,3,1,90.0,21.57
306.12841,36.0109,11.16,13.82,2.42,0.336,3,3,3,1,90.0,13.82
308.35024,41.72465,14.78,14.73,2.53,0.837,3,3,3,1,65.0,14.78
306.60127,42.23341,20.47,14.04,2.8,0.67,3,3,3,1,65.0,20.47
300.35139,33.29891,16.02,20.54,2.27,2.75,3,3,3,1,90.0,20.54
312.12793,42.27731,12.74,14.79,2.24,0.544,3,3,3,1,90.0,14.79
307.54636,43.52546,14.46,15.07,4.3,0.401,3,3,3,1,90.0,15.07
309.20461,39.04309,12.18,23.85,2.72,0.51,3,3,3,1,90.0,23.85
309.22937,39.42052,25.15,25.12,3.05,1.1,3,3,3,1,65.0,25.15
307.72101,42.55948,9.469,16.38,4.08,0.285,3,3,3,1,90.0,16.38
307.93248,42.31468,28.22,24.95,5.39,0.581,3,3,3,1,65.0,28.22
310.30194,40.93239,23.29,23.6,4.65,0.741,3,3,3,1,90.0,23.6
309.74732,38.2258,17.53,18.52,2.6,0.417,3,3,3,1,90.0,18.52
305.47466,34.34179,12.83,19.16,2.45,0.433,3,3,3,1,90.0,19.16
291.93588,16.02445,12.48,14.22,2.69,0.636,3,3,3,1,90.0,14.22
310.20983,39.29346,22.22,22.96,4.13,0.636,3,3,3,1,90.0,22.96
312.77239,44.66418,24.44,14.41,2.51,1.01,3,3,3,1,65.0,24.44
310.11422,38.80613,26.14,26.51,3.09,0.579,3,3,3,1,90.0,26.51
309.73156,39.73305,11.91,19.42,2.92,0.854,3,3,3,1,90.0,19.42
309.88214,39.49542,15.2,21.41,2.97,0.915,1,3,3,1,90.0,21.41
308.37835,42.78822,13.07,22.54,2.14,0.418,1,3,3,1,90.0,22.54
309.4633,41.56086,22.1,23.88,2.85,0.715,3,3,3,1,90.0,23.88
307.02925,36.73147,19.7,19.73,2.61,0.565,3,3,3,1,90.0,19.73
306.83497,41.04392,19.86,24.84,2.25,0.342,3,3,3,1,90.0,24.84
212.84153,-62.222,9.154,16.12,2.74,0.157,3,3,3,1,90.0,16.12
0.49362,36.64911,4.366,4.733,3.348,1.708,3,3,3,1,90.0,4.733
0.79025,21.96009,3.312,3.997,3.811,1.92,3,3,3,1,90.0,3.997
1.48328,60.86108,1.977,3.053,2.963,2.766,3,3,3,1,90.0,3.053
1.52676,60.87396,2.138,3.603,2.857,2.805,1,3,3,1,90.0,3.603
2.08635,40.63184,3.848,4.029,3.077,2.518,3,3,3,1,90.0,4.029
6.91974,69.6479,19.92,14.47,2.583,1.69,3,3,3,1,65.0,19.92
9.21928,-33.55474,5.455,5.131,2.972,2.808,3,3,3,1,65.0,5.455
0.67243,41.24708,1.502,4.017,2.607,1.633,1,3,3,1,90.0,4.017
1.35357,-73.20918,4.052,5.479,3.987,1.789,3,3,3,1,90.0,5.479
2.43368,-73.17593,5.788,9.322,4.342,2.215,3,3,3,1,90.0,9.322
3.5148,-73.32656,3.507,5.305,5.162,1.443,3,3,3,1,90.0,5.305
5.38605,-71.84604,3.676,5.818,4.309,2.585,3,3,3,1,90.0,5.818
7.83107,-72.38217,3.736,3.04,2.842,1.581,3,3,3,1,65.0,3.736
9.92245,72.611,20.48,14.58,4.478,2.393,3,3,3,1,65.0,20.48
4.72057,-10.45253,5.053,6.498,3.981,2.736,3,3,3,1,90.0,6.498
5.5835,51.57356,2.655,8.639,3.994,2.938,3,3,3,1,90.0,8.639
9.68531,45.43543,29.23,17.02,4.059,2.34,3,3,3,1,65.0,29.23
0.66047,7.67648,7.578,5.987,2.972,0.3998,3,3,3,1,65.0,7.578
3.61758,-41.24788,3.116,3.341,2.552,0.9009,3,3,3,1,90.0,3.341
4.52548,28.61252,20.2,13.61,3.258,1.82,3,3,3,1,65.0,20.2
6.03317,47.97,3.535,12.47,5.42,2.631,3,3,3,2,90.0,12.47
8.25124,58.03519,22.91,15.45,4.627,2.067,3,3,3,1,65.0,22.91
9.81269,30.15052,9.25,5.786,4.677,2.197,3,3,3,2,65.0,9.25
0.24226,38.7055,3.222,3.524,3.332,2.401,3,3,3,1,90.0,3.524
0.66664,39.53401,1.032,3.179,3.036,1.658,2,3,3,1,90.0,3.179
2.94356,62.23102,3.314,7.821,5.816,0.6236,3,3,3,1,90.0,7.821
7.12827,20.77222,1.548,4.481,3.091,0.9574,3,3,3,1,90.0,4.481
7.64154,0.49309,2.474,3.248,2.862,0.6268,3,3,3,1,90.0,3.248
7.87244,51.83385,3.478,4.028,2.684,1.444,3,3,3,1,90.0,4.028
8.71284,60.72231,4.744,4.247,3.637,0.9256,3,3,3,1,65.0,4.744
3.55189,-16.16559,4.794,5.166,2.941,2.083,1,3,3,1,90.0,5.166
4.26626,30.65759,5.102,5.264,3.315,0.8733,3,3,3,1,90.0,5.264
