ra,dec,flux65,flux90,flux140,flux160,qflag65,qflag90,qflag140,qflag160,peak_wl,peak_flux
351.58624,63.26101,1.538,3.691,,0.353,1,1,2,0,90.0,3.691
244.87072,-56.05748,2.012,3.722,,0.105,1,1,2,0,90.0,3.722
203.05928,13.89447,2.051,3.048,,0.0172,1,1,2,0,90.0,3.048
264.51873,-22.76758,1.3,5.325,,0.0806,1,1,2,0,90.0,5.325
233.66067,-53.09469,1.246,3.819,,0.058,1,1,2,0,90.0,3.819
247.86352,-24.32537,2.212,4.879,,0.087,1,1,2,0,90.0,4.879
242.80331,-46.88205,1.043,3.613,,0.0391,2,1,2,0,90.0,3.613
232.62745,-12.60372,2.75,3.514,,0.0432,1,1,2,0,90.0,3.514
355.60237,61.08371,1.24,3.896,,0.199,1,1,2,0,90.0,3.896
325.10539,55.39316,1.822,4.34,,0.0431,1,1,2,0,90.0,4.34
354.81126,-4.53951,2.511,5.182,,0.0737,3,1,2,0,90.0,5.182
354.93149,61.2754,2.567,5.536,0.611,0.582,1,1,8,8,90.0,5.536
348.81927,58.55205,2.703,3.428,,0.124,1,1,2,0,90.0,3.428
356.48774,57.74457,2.021,3.051,,0.0345,1,1,2,0,90.0,3.051
342.00493,62.73813,1.224,4.329,,0.0657,1,1,2,0,90.0,4.329
270.29807,-18.86447,0.6869,4.786,,0.543,1,1,3,1,90.0,4.786
356.29178,67.4138,2.553,3.767,,0.167,1,1,2,0,90.0,3.767
349.87674,16.07378,2.449,3.696,,0.0563,3,1,2,0,90.0,3.696
269.7799,-18.04723,1.719,3.198,,0.0664,1,1,2,0,90.0,3.198
266.21074,-37.7433,1.798,5.485,,0.125,1,1,2,0,90.0,5.485
305.24814,47.98179,2.935,4.885,,0.132,1,1,2,0,90.0,4.885
5.70105,62.66049,0.6427,3.142,,0.193,1,1,2,0,90.0,3.142
234.69506,-49.68252,2.775,3.521,,0.0352,1,1,2,0,90.0,3.521
323.24292,58.32205,1.833,5.703,,0.141,1,1,2,0,90.0,5.703
318.0235,51.61555,0.4681,6.319,,0.0115,1,1,2,0,90.0,6.319
345.38608,-46.64905,2.668,3.96,,0.138,3,1,2,0,90.0,3.96
316.97469,44.47826,1.92,3.586,,0.0619,1,1,2,0,90.0,3.586
274.56139,-25.12498,1.044,5.518,,0.085,1,3,2,0,90.0,5.518
