ra,dec,W3 - W4,W4
171.1997231,-63.3620758,1.532,8.936
180.6280609,-63.3570134,2.273999999999999,8.037
217.51435,-63.30071,2.6710000000000003,7.662
185.6337997,-63.1738789,1.737,8.664
198.5130452,-63.1557032,4.774,5.505
164.606181,-63.1420456,2.5679999999999996,6.823
176.0880809,-63.1334868,2.6209999999999996,7.797
174.6589812,-63.1173452,2.031999999999999,7.851
172.975741,-63.1141216,2.678,4.956
81.8565297,-67.4962128,2.939,5.693
170.1238094,-62.8926482,2.6019999999999994,7.454
228.9664615,-62.8812888,2.87,7.534
180.596427,-62.8508537,2.6560000000000006,4.957
177.3264793,-62.8445058,2.3560000000000008,6.31
178.56317,-62.81945,2.2270000000000003,5.718
170.6129064,-62.7494282,2.6819999999999995,5.627
169.9013087,-62.6441661,1.8650000000000002,8.461
186.1172223,-62.6441021,2.622,7.442
221.9872147,-62.6436048,1.9210000000000012,8.53
175.9639756,-62.6303973,2.162,5.298
181.7068167,-62.6117567,2.1789999999999985,8.095
177.6506289,-62.5749018,2.744999999999999,7.618
173.3106976,-62.5069015,1.7950000000000008,7.768
185.4302531,-62.4991872,2.088000000000001,7.302
166.3370092,-62.4768995,1.951,3.647
181.8904,-62.3842841,1.8480000000000008,8.603
224.4545735,-62.3580738,3.231,7.176
209.5092637,-62.3092102,2.5140000000000002,6.594
174.3406108,-62.2259866,2.5789999999999997,7.498
174.3481587,-62.1765835,2.529,7.339
171.6980113,-62.1684603,1.7850000000000001,5.482
166.2826743,-62.1467543,1.6999999999999993,8.784
196.3844859,-62.1165746,2.4619999999999997,7.193
172.5438548,-62.0907104,2.0630000000000006,7.679
176.2417112,-62.0821227,2.243999999999999,7.889
179.4916508,-62.0530697,3.2560000000000002,6.68
167.8912756,-62.0162183,2.5679999999999996,6.23
307.7315772,-62.0013328,1.7950000000000008,7.906
198.9823859,-61.9985398,2.4530000000000003,6.973
39.6688404,-61.9464765,1.652000000000001,8.831
163.9170696,-61.9040582,2.308,8.116
190.5912686,-61.8691142,2.582,6.809
213.2863067,-61.8500893,1.931000000000001,6.811
216.4005077,-61.842981,2.344000000000001,8.084
166.7564265,-61.8420622,1.652000000000001,8.588
172.2864829,-61.8019973,2.226000000000001,7.715
167.6751266,-61.7217411,2.257999999999999,6.291
189.396645,-61.7160852,2.1590000000000007,7.523
207.8719018,-61.7036739,2.2779999999999996,4.304
164.0417274,-61.6900128,2.6740000000000004,7.293
161.6731519,-61.6456688,1.8490000000000002,8.642
330.5715364,-61.5967804,1.8480000000000008,7.814
168.5746046,-61.5638645,2.8119999999999994,6.587
203.1150036,-61.5362538,1.8399999999999999,8.212
167.8094261,-61.4768961,2.5940000000000003,5.688
170.1726168,-61.4640882,2.4159999999999995,6.61
170.6603946,-61.425358,2.7430000000000003,6.154
222.7746668,-61.4252948,2.3599999999999994,8.048
328.8111311,-61.4172351,2.167,7.962
152.425063,-61.4043718,1.5079999999999991,8.929
158.2734751,-61.3999953,2.4220000000000006,6.865
157.6981219,-61.3196063,2.5310000000000006,7.209
198.9726187,-61.3040177,1.6450000000000005,7.415
53.6336219,-61.2897185,1.5759999999999987,8.063
185.0376348,-61.2866994,2.3180000000000014,8.142
196.2072579,-61.2597857,2.8569999999999993,7.535
169.3510303,-61.1612913,3.712999999999999,4.945
162.69344,-61.1534506,2.5869999999999997,5.705
163.4557922,-61.1375707,2.6340000000000003,5.677
336.9183617,-61.1016129,2.329999999999999,7.934
204.03652,-61.00556,2.2109999999999994,7.223
173.9728486,-60.8348857,2.0359999999999996,8.406
210.3809004,-60.8211576,2.9829999999999997,6.338
158.5854423,-60.7807177,3.311000000000001,6.899
165.5981728,-60.7354902,2.406999999999999,6.745
166.6637815,-60.6997454,2.465,5.121
173.564701,-60.6085548,2.534,7.328
165.5611042,-60.4895374,2.2510000000000003,5.617
155.9928256,-60.4279556,2.141,8.222
166.7351064,-60.4095517,2.237000000000001,7.566
208.5057454,-60.3698837,2.529000000000001,7.037
169.2350972,-60.2497839,2.339999999999999,7.591
168.1487823,-60.2095049,1.991999999999999,6.038
185.6860976,-60.193066,1.7859999999999996,8.608
161.2548105,-60.1808608,2.0330000000000004,5.116
159.9383226,-60.1416055,2.9400000000000004,5.296
160.8855035,-60.0285778,4.348,2.418
160.3430475,-60.0070887,3.7860000000000005,5.342
232.5039172,-59.9722954,2.3790000000000013,8.008
160.0837391,-59.970087,6.7379999999999995,2.792
180.8315276,-59.9694261,2.346000000000001,7.919
159.2821313,-59.9528674,1.5579999999999998,8.029
161.3957589,-59.9477493,3.084,0.026
167.1538414,-59.9326991,2.542,6.195
158.5924252,-59.8501325,2.7809999999999997,5.186
158.5436872,-59.8392926,2.5679999999999996,6.603
162.9229431,-59.8185589,1.7539999999999996,6.898
222.3963339,-59.8016921,2.4579999999999993,5.79
229.3219798,-59.7334528,2.12,5.353
171.7300909,-59.7077042,2.713000000000001,6.84
158.159689,-59.703053,2.4540000000000006,6.52
233.5789104,-59.6411242,3.1389999999999993,7.064
157.9854216,-59.6065774,3.117,7.139
220.1462809,-59.5643384,2.0839999999999996,7.814
160.7511445,-59.4686461,1.8999999999999995,3.019
161.1585015,-59.4624419,5.538,2.415
151.5149017,-59.4539978,2.1690000000000005,8.321
158.6739859,-59.4418015,2.349,6.568
221.4601377,-59.4168548,3.8340000000000005,2.284
221.4859719,-59.4093514,3.7110000000000003,3.335
162.1445899,-59.3930815,4.082,5.406
221.9572345,-59.3123227,4.7829999999999995,2.826
153.3215308,-59.2697381,2.222999999999999,8.195
229.8176179,-59.2542546,2.6030000000000006,5.915
221.2097214,-59.2222953,5.271,4.751
20.0507895,-59.2021595,1.9009999999999998,8.064
143.3392897,-59.2007665,1.5150000000000006,8.929
154.3851098,-59.1879901,1.8020000000000014,8.655
219.6014056,-59.1464925,2.3640000000000008,7.241
156.4167111,-59.1358477,2.6599999999999993,7.392
153.9209683,-59.0763869,2.4669999999999996,7.581
221.0031712,-59.0493497,2.404,6.279
229.8898868,-59.0454742,2.0520000000000005,6.7
160.3160545,-59.0254678,3.7359999999999998,4.195
159.4853655,-59.0009955,2.7809999999999997,6.14
161.7067925,-58.9487145,2.4579999999999993,4.448
159.235921,-58.9318709,2.247,6.323
161.3842057,-58.902447,2.6239999999999997,4.041
160.2918728,-58.8810069,2.8449999999999998,5.216
217.666982,-58.875233,2.356,8.11
160.4468546,-58.8249776,2.2939999999999996,4.724
157.6969148,-58.7935951,2.678,6.393
35.4496391,-58.7231311,1.6509999999999998,8.167
316.9198731,-58.7144654,2.167,7.693
161.2965936,-58.6806722,2.9930000000000003,5.366
153.0877316,-58.6187055,1.6509999999999998,8.121
173.5740598,-62.9133606,3.4559999999999995,5.253
184.7493741,-62.839839,2.7700000000000005,7.069
209.8763551,-62.776335,2.181,7.367
182.6717935,-62.7277346,2.6719999999999997,5.492
172.5125373,-62.7264225,2.4210000000000003,6.428
214.569729,-62.7203626,2.6180000000000003,7.587
192.0064083,-62.6791051,2.67,4.922
182.9148639,-62.6674041,4.942,4.375
183.5605738,-62.6631831,4.234999999999999,5.144
198.2086062,-62.6557517,1.9670000000000005,6.859
211.77716,-62.61192,3.118000000000001,6.201
202.7190896,-62.5850893,1.9590000000000005,7.392
183.5504109,-62.5580973,1.6219999999999999,7.182
210.8463743,-62.5478823,2.4670000000000005,5.792
5.1053261,-62.5472512,1.8770000000000007,8.168
183.9814068,-62.4826113,2.58,5.361
164.3321438,-62.4774094,1.6679999999999993,8.585
171.9020899,-62.4172306,2.588,5.268
167.73505,-62.39577,2.4620000000000006,7.415
171.8924017,-62.3827968,2.787,4.812
198.4324338,-62.3373881,2.902000000000001,5.414
182.3928253,-62.32805,2.2929999999999993,7.157
212.8237768,-62.2753509,2.2699999999999996,7.349
218.4539852,-62.2698859,2.449,7.535
175.2635804,-62.2502896,2.4299999999999997,7.911
163.5405572,-62.2490767,1.991999999999999,8.473
177.422475,-62.190942,3.3289999999999997,4.972
196.8594805,-62.1517853,2.912,4.587
194.9260993,-62.1472708,1.8280000000000012,8.6
184.6809145,-62.0818575,2.5459999999999994,7.634
179.3870952,-62.056415,1.5210000000000008,8.69
204.8661112,-62.0229896,2.5709999999999997,6.58
170.6906032,-62.0101392,2.8819999999999997,6.247
167.673901,-61.9161235,1.7680000000000007,8.264
176.7623441,-61.8861394,2.888,5.743
154.971487,-61.8860012,1.6290000000000013,8.421
183.1837252,-61.8327517,1.5899999999999999,8.699
196.6356164,-61.8234646,2.745,7.338
213.4345559,-61.8135231,2.251999999999999,7.4
163.0816608,-61.7670713,1.5810000000000004,7.505
196.8220749,-61.7439762,1.7739999999999991,8.698
204.5893124,-61.6963869,1.9090000000000007,7.132
182.5856541,-61.6914679,2.276,8.026
172.3732745,-61.6901537,1.866999999999999,8.05
224.6847593,-61.6040872,1.7560000000000002,8.669
167.6630007,-61.536754,2.8729999999999993,6.093
164.8506546,-61.4823532,2.168,5.422
157.4112972,-61.349413,2.439000000000001,7.762
229.2940842,-61.3351497,1.9400000000000013,8.27
209.720259,-61.2918384,2.6259999999999994,5.107
174.7276665,-61.2852761,1.9639999999999995,7.972
160.8221179,-61.2185654,2.1339999999999995,7.277
158.6228599,-61.2174743,2.242,7.415
197.826363,-61.2008419,2.532,7.891
168.0834693,-61.1772946,2.3819999999999997,6.196
163.98719,-61.14845,2.8480000000000008,6.33
211.5697702,-61.1076126,2.3050000000000006,6.28
223.6328065,-61.0220514,2.1179999999999986,8.188
165.8800622,-60.9545036,1.6219999999999999,8.673
159.6447019,-60.9443439,2.6399999999999997,5.752
172.4026372,-60.9352564,2.662000000000001,7.795
154.4956183,-60.8752539,1.7040000000000002,3.78
160.2421947,-60.8439555,2.2250000000000005,7.842
169.2878351,-60.8359366,1.979,7.528
169.1599666,-60.8241957,2.4060000000000006,7.353
168.3163247,-60.8172324,2.3329999999999997,3.847
146.273663,-60.8059154,2.094000000000001,7.443
156.7181592,-60.8036741,1.815999999999999,8.445
165.6344766,-60.7899334,2.4910000000000005,6.124
169.1118225,-60.7605445,2.4510000000000005,7.135
