ra,dec
4.92733,-25.43395
4.97034,-25.27962
5.11561,-20.12267
5.19431,-25.56437
5.23513,-25.36353
5.55452,-63.55014
6.44778,18.89221
7.1601,41.88268
7.83695,-25.08954
1.20544,-28.06771
5.1956,-53.33079
6.34915,-31.22161
6.44234,-39.76424
7.81785,-32.78665
8.13791,-15.47283
8.58007,8.93455
0.5806,-38.69336
1.43167,-26.19913
2.22098,-25.04443
2.8759,-28.02448
3.66677,-37.10159
4.06,-22.4538
4.07169,-32.18708
4.54866,-19.62637
5.4552,-22.0874
8.14663,-78.1776
8.77974,-21.74406
0.04946,-38.83096
0.10381,-16.22462
0.4169,-23.21015
0.93636,-35.24317
1.48427,-14.23292
1.54471,-17.37986
2.10718,-16.46853
2.41776,-11.42115
3.06006,-58.25153
3.14268,-24.83573
3.6115,-25.04752
4.3524,-22.88628
4.51529,-15.2702
7.56757,21.86718
7.84588,-47.26034
8.32295,0.19614
0.25161,-4.93183
0.29175,-11.20664
0.35669,-11.77009
2.2243,32.62415
2.4783,9.50194
3.13779,-36.74732
3.72813,-16.52541
5.6197,3.95701
6.18172,-23.43579
8.41608,2.29759
9.60364,-1.59686
0.39275,6.36908
2.89747,9.22571
4.97157,5.96436
6.75803,26.32352
7.06595,9.86847
8.21468,39.72462
8.80867,-59.19557
8.99162,-20.64869
9.25276,47.27847
9.39988,-1.88636
9.86286,31.61815
0.68435,25.81046
1.01389,-23.73197
1.59439,27.03626
1.73037,-27.22555
3.17832,19.98934
3.37301,-41.79365
3.78651,12.70372
4.25187,45.85623
4.82765,40.41228
5.59569,20.1038
5.70989,41.87095
6.31808,48.36764
8.1645,42.41965
8.18949,40.65846
1.04039,12.41768
3.00986,-57.06883
5.08843,52.45343
5.17725,43.9417
6.0491,-23.43412
6.83416,45.34951
7.3568,50.09795
7.77116,50.99438
9.07662,-44.56133
9.41224,68.91935
9.66855,43.94112
9.84522,33.84006
0.44663,44.24503
2.7678,11.15437
3.53021,39.0709
3.80245,78.62394
4.00998,45.37414
5.81791,38.0159
0.47242,48.72635
1.42569,35.34768
4.57333,40.563
6.1307,43.71905
6.4706,60.3456
8.05156,60.10105
1.86851,8.2262
2.63043,60.29045
3.14431,24.73084
3.54741,8.90185
3.8321,-29.6127
9.59302,-4.4165
1.51437,-69.17176
2.61366,57.97577
2.96345,70.36997
9.68411,-39.45002
38.3847148,-84.7550161
247.0964981,-83.6645254
333.1669949,-81.7715118
258.9615416,-80.8216905
104.8600109,-79.6463846
78.8217649,-79.2271952
12.0675693,-78.7958748
13.1750829,-77.9500616
49.1553547,-76.9045143
208.324551,-76.279498
11.4323642,-75.9927014
148.4901368,-75.4524591
21.8197991,-75.3608988
249.9336137,-75.2500244
240.8382105,-83.8084646
141.5649136,-83.3904565
318.7245515,-82.045767
4.3957152,-80.8577362
204.3663797,-80.0949618
164.8728284,-78.1098074
47.3838936,-77.6593765
313.4884868,-77.5789171
268.5279184,-77.4525795
336.9691002,-76.5460324
193.6003942,-76.0318379
5.5303188,-75.6498416
59.7850678,-74.5488741
172.6981338,-83.9344497
152.914736,-81.8345009
192.0773223,-81.1187149
156.7030025,-80.281642
155.2894686,-79.8073532
327.3940976,-79.5498405
259.496299,-77.5689535
180.7577999,-77.5138896
3.9956251,-87.3189639
91.8423795,-73.9525927
78.4880753,-73.6959356
15.3733016,-73.590543
328.9795816,-71.8629155
75.4795163,-70.635977
69.1808472,-70.0241738
80.8622518,-69.7899933
81.1992325,-69.5405804
72.5540244,-69.4701584
86.6236316,-69.3948431
235.4606228,-69.3402402
82.0245718,-69.3290303
84.1506551,-69.2351677
74.2366269,-69.1979109
73.4340917,-69.1792978
129.6173273,-69.1789214
85.8415336,-69.0322478
84.1552864,-68.9940173
77.3882201,-68.8834154
82.3796234,-68.6702262
193.3936891,-68.3374057
126.78827,-68.17356
84.1057318,-72.8427463
320.3051501,-72.1183589
129.9538149,-72.0404723
82.7709434,-71.1323598
326.6314085,-71.00618
25.0588651,-70.7348873
84.6157155,-70.6752218
320.786065,-70.6601925
85.3131691,-70.2727636
85.2877009,-70.1267314
341.8133361,-70.0499361
324.6092842,-69.6585649
84.0914698,-69.6321076
84.6949135,-69.5753839
83.6098172,-69.5552253
88.5644861,-69.5541152
83.6856099,-69.5332549
74.0360101,-69.5012249
85.8810571,-69.4286374
73.1995087,-69.3231198
83.8082898,-69.2266135
75.5874372,-69.0630285
77.0588556,-69.0394774
327.7633529,-68.7832048
358.7527027,-68.6992362
81.1483631,-68.5086338
81.1900927,-68.4835945
104.4878973,-68.4039331
16.8249896,-68.2062963
110.0465655,-68.0372685
65.4259556,-67.9938714
11.8281037,-73.3779596
107.1134582,-73.2821505
338.4640069,-72.3893553
145.0764015,-72.2654844
305.0729153,-71.7698788
81.0944723,-71.5321703
303.744687,-71.4405464
76.0315436,-71.111366
56.8957821,-71.0566598
82.1773778,-71.0001786
15.7027705,-70.7562018
205.1920354,-70.6839745
121.1939482,-70.6347183
80.8710438,-69.9075151
85.2723117,-69.7748836
85.3832898,-69.548511
83.8034365,-69.4187989
79.2957056,-69.291105
79.553336,-69.2126056
83.8662224,-69.1961426
83.5828179,-69.1711173
82.6133775,-69.1142895
85.6862645,-69.0372522
291.7275653,-68.8734515
75.268319,-68.8684492
257.179465,-68.6916036
82.9344496,-68.5200301
334.9400652,-74.1920532
313.9958656,-74.1393327
313.590509,-73.8398102
82.062404,-67.4351801
216.7277584,-66.662617
176.1065201,-66.5277025
74.1300077,-66.4998677
78.8540498,-66.432205
74.52649,-66.36829
91.3680929,-66.2142919
128.2910613,-66.1705448
232.3079501,-66.1532252
88.1932639,-65.9882874
331.1009879,-65.7090133
120.9141245,-65.5829145
358.7856454,-64.9894862
130.9536908,-64.9142465
177.8591389,-64.6255427
101.0890128,-64.6244506
358.9939037,-64.5800205
176.3936072,-64.3844676
174.8076731,-64.1850817
119.6059813,-64.1841137
196.7223762,-64.1618189
212.6792186,-63.9979649
171.3211192,-63.9935137
194.1835415,-63.8997729
180.8260285,-63.8542727
172.3197352,-63.8230018
179.4406196,-63.8147698
199.4444487,-63.8001403
182.5000688,-63.7802072
196.7545974,-63.7704827
176.4698939,-63.7498617
161.4112661,-63.6806948
173.2845507,-63.6510088
267.278453,-63.6277005
199.105188,-63.6174179
173.8295169,-63.4932212
204.2510321,-63.3909894
172.1249143,-63.3867673
174.2986085,-63.3729811
172.2033278,-63.3576605
214.3484144,-63.3354931
176.1395355,-63.2977481
178.926755,-63.2810245
182.1658673,-63.2273653
200.487547,-63.2213746
217.63776,-63.21894
201.8818546,-63.1289877
182.4049161,-63.0956679
182.5535694,-63.0706848
217.5648242,-63.0108484
183.7472919,-62.9580814
44.2147102,-67.8621025
233.2186096,-67.3685162
80.7507195,-67.1126942
6.6928463,-66.7928938
295.3724917,-66.6084995
74.343971,-66.4655134
210.8252187,-66.4012116
230.4410579,-66.145482
96.0836284,-65.5034096
198.4723649,-65.302049
177.603394,-64.8683602
156.3266625,-64.8390207
171.4918594,-64.69997
263.7062719,-64.6578652
200.6496945,-64.4533703
200.1409426,-64.4500741
175.9449659,-64.225838
177.0123544,-64.0839822
169.9385296,-64.0660503
205.3477504,-64.0020299
37.4289512,-63.9942777
176.4780872,-63.9786928
172.6509736,-63.9228306
171.1437034,-63.9041864
175.2631404,-63.8904467
202.0923568,-63.8769839
175.896567,-63.8646314
172.49568,-63.85835
177.1124743,-63.8541468
174.8193024,-63.766668
206.0206988,-63.743682
173.27784,-63.7340295
199.6984926,-63.6557945
181.4376256,-63.6543474
179.6224756,-63.6407696
320.4881225,-63.6014202
298.8609113,-63.5480491
110.9129132,-63.5225744
66.1314225,-63.5048336
205.6579386,-63.3496059
